type,place,state
Hindu temples,Sri Kandaswamy Kovil,Kuala Lumpur
Hindu temples,Sri Mahamariamman Temple,Kuala Lumpur
Mosques,Federal Territory Mosque,Kuala Lumpur
Mosques,Jamek Mosque,Kuala Lumpur
Mosques,National Mosque of Malaysia,Kuala Lumpur
Mosques,Putra Mosque,Putrajaya
Mosques,Tuanku Mizan Zainal Abidin Mosque,Putrajaya
,Desaru Coast Adventure Water Park,Johor
,Pulau Rawa,Johor
,Pulau Sibu,Johor
,Pantai Desaru,Johor
,Taman Negara Endau-Rompin,Johor
,Legoland Malaysia Resort,Johor
,Kulim Eco Trail Retreat,Johor
,Taman Negara Tanjung Piai,Johor
,Zoo Johor (Johor Safari Park),Johor
,Austin Heights Water & Adventure Park,Johor
,KUSO 3D Art Gallery,Johor
,Bazaar Johor (Bazaar Karat),Johor
,Johor Premium Outlet (JPO),Johor
,Nasuha Herbs & Spice Farm,Johor
,Taman Buaya Teluk Sengat,Johor
,Air Terjun Kota Tinggi,Johor
,Kluang Coffee Powder Factory,Johor
,Danga Bay,Johor
,Rock World,Johor
,LOST in JB Escape Room,Johor
,Desaru Ostrich Farm,Johor
,Angry Bird Activity Park,Johor
,Puteri Harbour Indoor Theme Park,Johor
,Hutan Bandar MBJB,Johor
,Taman Negara Pulau Kukup,Johor
,Nanyang Fish Farm,Johor
,Laman Mahkota Istana Bukit Serene,Johor
,Masjid Sultan Abu Bakar,Johor
,Taman Rekreasi Tanjung Emas,Johor
,Taman Hutan Lagenda Gunung Ledang,Johor
,Muzium Nelayan Tanjung Balau,Johor
,Desaru Fruit Farm,Johor
,Pantai Stulang Laut,Johor
,Pantai Minyak Beku,Johor
,Gunung Lambak,Johor
,Hutan Lipur Gunung Pulai 2,Johor
,Pantai Air Papan,Johor
,Wet World Batu Pahat Village Resort,Johor
,Penggaram Square Batu Pahat,Johor
,Puteri Harbour Marina,Johor
,Muzium Bugis Pontian,Johor
,Muzium Kota Johor Lama,Johor
,Muzium Layang-Layang Pasir Gudang,Johor
,Muzium Tokoh Johor,Johor
,Muzium Mersing,Johor
,Taman Merdeka,Johor
,Kolam Air Panas Sungai Gersik,Johor
,Don Hu Jurassic Park Muar,Johor
,Laser Battle Experience in Johor Bahru,Johor
,Gunung Lambak Waterpark,Johor
,ATV Park Johor,Johor
,Kota Tinggi Firefly Park,Johor
,UK Farm Agro Resort,Johor
,Taman Laut Sultan Iskandar (TLSI),Johor
,Galeri Darurat Bukit Kepong,Johor
,Pineapple Museum,Johor
,Pulau Pangkor,Perak
,The Haven Resort Hotel,Perak
,Sunway Lost World of Tambun,Perak
,Sungai Klah Hotspring,Perak
,Masjid Diraja Ubudiah,Perak
,Zoo Taiping dan Night Safari,Perak
,Pangkor Laut Resort,Perak
,Taman Rekreasi Gunung Lang,Perak
,Muzium Perak Taiping,Perak
,Kellie's Castle,Perak
,Sultan Azlan Shah Gallery,Perak
,Bukit Merah Lake Town Resort,Perak
,Tasik Banding ,Perak
,Pulau Orang Utan,Perak
,Ladang Anggur Saloma,Perak
,Teluk Senangin,Perak
,Pantai Teluk Batik,Perak
,Menara Condong Teluk Intan,Perak
,Bukit Larut (Maxwell Hill),Perak
,Belum Rainforest Resort,Perak
,Taman Tasik Taiping,Perak
,Kuala Sepetang,Perak
,Muzium Geologi Ipoh,Perak
,Gua Tempurung,Perak
,Kledang Saiong Forest Eco Park,Perak
,Lata Ulu Chepor,Perak
,Pasar Karat Ipoh,Perak
,Muzium Arkeologi Lenggong,Perak
,The Banjaran Hotsprings Retreat,Perak
,Kek Long Tong Cave Temple,Perak
,Tasik Cermin Gunung Rapat,Perak
,Masjid Sultan Idris Shah II,Perak
,Masjid Muhammadiyah Ipoh,Perak
,Air Terjun Lata Iskandar,Perak
,Bukit Kledang,Perak
,Ladang Limau Tambun GOChin,Perak
,Air Terjun Ulu Kenas,Perak
,Air Terjun Lata Kinjang,Perak
,Taman Eko Rimba Lata Kekabu,Perak
,Riverside Camp Gopeng,Perak
,Pusat Rekreasi Hotsprings Lubuk Timah,Perak
,Swiss-Garden Beach Resort Damai Laut,Perak
,Kubu Belanda,Perak
,Lata Tebing Tinggi,Perak
,Ulu River Lodge,Perak
,Trong Hotspring,Perak
,Ipoh Mural Art Trail,Perak
,Marina Island Pangkor Resort,Perak
,Kem As Salam,Perak
,Kem Ayer Hitam Batu Kurau,Perak
,Spritzer Eco Park,Perak
,Perak Agrotourism Resort,Perak
,Kompleks Sejarah Pasir Salak,Perak
,Pusat Konservasi Penyu Segari,Perak
,Refarm,Perak
,Victoria Bridge,Perak
